#Name (cmd = mergePeaks pr.pd_hipp_gba1_vs_lrk/bg.clean.pos pr.pd_hipp_gba1_vs_lrk/target.clean..pos -d 200 -cobound 1 -prefix pr.pd_hipp_gba1_vs_lrk/0.499864938742579.2.tmp)	chr	start	end	strand	stat	stat2	pr.pd_hipp_gba1_vs_lrk/target.clean..pos
BG27008	chr1	210301909	210302108	+	0.000	0.000	2293
BG27023	chr1	210364232	210364491	+	0.000	0.000	2294
BG27031	chr1	210377080	210377294	+	0.000	0.000	2295
BG27039	chr1	210412310	210413081	+	0.000	0.000	2296
BG27068	chr1	210620979	210621178	+	0.000	0.000	2297
BG27073	chr1	210622557	210622756	+	0.000	0.000	2298
BG27074	chr1	210624414	210624632	+	0.000	0.000	2299
BG27075	chr1	210624734	210625111	+	0.000	0.000	2300
BG27076	chr1	210625134	210625622	+	0.000	0.000	2301
BG27118	chr1	210768689	210768955	+	0.000	0.000	2302
BG27121	chr1	210769590	210769789	+	0.000	0.000	2303
BG27207	chr1	211083161	211083405	+	0.000	0.000	2304
BG27221	chr1	211167163	211167417	+	0.000	0.000	2305
BG27229	chr1	211321077	211321295	+	0.000	0.000	2306
BG27268	chr1	211536967	211537204	+	0.000	0.000	2307
BG27304	chr1	211680309	211680732	+	0.000	0.000	2308
BG27347	chr1	211910736	211911190	+	0.000	0.000	2309
BG27353	chr1	211920315	211920514	+	0.000	0.000	2310
BG27356	chr1	211924770	211924988	+	0.000	0.000	2311
BG27371	chr1	212031009	212031240	+	0.000	0.000	2312
BG27398	chr1	212259077	212259554	+	0.000	0.000	2313
BG209000	chr20	49325963	49326680	+	0.000	0.000	16220
BG209007	chr20	49347862	49348061	+	0.000	0.000	16221
BG209008	chr20	49349738	49349939	+	0.000	0.000	16222
BG209017	chr20	49377350	49377584	+	0.000	0.000	16223
BG209039	chr20	49439938	49441053	+	0.000	0.000	16224
BG209049	chr20	49468421	49468808	+	0.000	0.000	16225
BG209064	chr20	49534893	49535120	+	0.000	0.000	16226
BG209071	chr20	49552399	49552780	+	0.000	0.000	16227
BG209086	chr20	49626767	49627251	+	0.000	0.000	16228
BG209088	chr20	49633123	49633322	+	0.000	0.000	16229
BG209089	chr20	49633332	49633703	+	0.000	0.000	16230
BG209090	chr20	49633706	49633935	+	0.000	0.000	16231
BG209098	chr20	49655941	49656799	+	0.000	0.000	16232
BG27408	chr1	212315897	212316585	+	0.000	0.000	2314
BG27415	chr1	212375490	212376057	+	0.000	0.000	2315
BG27425	chr1	212424851	212425050	+	0.000	0.000	2316
BG27432	chr1	212440787	212440986	+	0.000	0.000	2317
BG27440	chr1	212462019	212462242	+	0.000	0.000	2318
BG27441	chr1	212462248	212462589	+	0.000	0.000	2319
BG27470	chr1	212579485	212579684	+	0.000	0.000	2320
BG27492	chr1	212753068	212753304	+	0.000	0.000	2321
BG209102	chr20	49662150	49662349	+	0.000	0.000	16233
BG209110	chr20	49699364	49699600	+	0.000	0.000	16234
BG209162	chr20	49910753	49910952	+	0.000	0.000	16235
BG209176	chr20	49979645	49979844	+	0.000	0.000	16236
BG209182	chr20	50009534	50010154	+	0.000	0.000	16237
BG209183	chr20	50010197	50010396	+	0.000	0.000	16238
BG209193	chr20	50054287	50055897	+	0.000	0.000	16239
BG209196	chr20	50075642	50075854	+	0.000	0.000	16240
BG27500	chr1	212795193	212795425	+	0.000	0.000	2322
BG27531	chr1	213016028	213016254	+	0.000	0.000	2323
BG27596	chr1	213537943	213538142	+	0.000	0.000	2324
BG209232	chr20	50224645	50224844	+	0.000	0.000	16241
BG209233	chr20	50224990	50225189	+	0.000	0.000	16242
BG209234	chr20	50230134	50230538	+	0.000	0.000	16243
BG209248	chr20	50304685	50304884	+	0.000	0.000	16244
BG209256	chr20	50317655	50317854	+	0.000	0.000	16245
BG209259	chr20	50321412	50321611	+	0.000	0.000	16246
BG209261	chr20	50325286	50326667	+	0.000	0.000	16247
BG209266	chr20	50339509	50339708	+	0.000	0.000	16248
BG209280	chr20	50473186	50473385	+	0.000	0.000	16249
BG209290	chr20	50546292	50546491	+	0.000	0.000	16250
BG27605	chr1	213698296	213698552	+	0.000	0.000	2325
BG27616	chr1	213892521	213893020	+	0.000	0.000	2326
BG27629	chr1	214002869	214003068	+	0.000	0.000	2327
BG27634	chr1	214009422	214010246	+	0.000	0.000	2328
BG27664	chr1	214193760	214194004	+	0.000	0.000	2329
BG27676	chr1	214311175	214311384	+	0.000	0.000	2330
BG27677	chr1	214311984	214312362	+	0.000	0.000	2331
BG27694	chr1	214379036	214379556	+	0.000	0.000	2332
BG209319	chr20	50668378	50668608	+	0.000	0.000	16251
BG209331	chr20	50718100	50718317	+	0.000	0.000	16252
BG209364	chr20	50914112	50914311	+	0.000	0.000	16253
BG209379	chr20	50994526	50994725	+	0.000	0.000	16254
BG209390	chr20	51017842	51018041	+	0.000	0.000	16255
BG62001	chr11	79093021	79093258	+	0.000	0.000	4814
BG62036	chr11	79244633	79244854	+	0.000	0.000	4815
BG62042	chr11	79268972	79269289	+	0.000	0.000	4816
BG62047	chr11	79290045	79290307	+	0.000	0.000	4817
BG62063	chr11	79393826	79394025	+	0.000	0.000	4818
BG27741	chr1	214897002	214897443	+	0.000	0.000	2333
BG27773	chr1	215217074	215217273	+	0.000	0.000	2334
BG308031	chr6	98946417	98946658	+	0.000	0.000	22729
BG27786	chr1	215357720	215357919	+	0.000	0.000	2335
BG27790	chr1	215416355	215416579	+	0.000	0.000	2336
BG308054	chr6	99120782	99121024	+	0.000	0.000	22730
BG209400	chr20	51069324	51069703	+	0.000	0.000	16256
BG209402	chr20	51077968	51078167	+	0.000	0.000	16257
BG209403	chr20	51089077	51089282	+	0.000	0.000	16258
BG209404	chr20	51089317	51089564	+	0.000	0.000	16259
BG209405	chr20	51089580	51089805	+	0.000	0.000	16260
BG209418	chr20	51159574	51159773	+	0.000	0.000	16261
BG209463	chr20	51428184	51428805	+	0.000	0.000	16262
BG209464	chr20	51428809	51429019	+	0.000	0.000	16263
BG209493	chr20	51498080	51498328	+	0.000	0.000	16264
BG62102	chr11	79687505	79687730	+	0.000	0.000	4819
