#Name (cmd = mergePeaks pr.diff_pd_hipp_lrrk_vs_ctrl/bg.clean.pos pr.diff_pd_hipp_lrrk_vs_ctrl/target.clean..pos -d 200 -cobound 1 -prefix pr.diff_pd_hipp_lrrk_vs_ctrl/0.288842263006703.2.tmp)	chr	start	end	strand	stat	stat2	pr.diff_pd_hipp_lrrk_vs_ctrl/target.clean..pos
BG27005	chr1	210293404	210293603	+	0.000	0.000	2231
BG27023	chr1	210364232	210364491	+	0.000	0.000	2232
BG27031	chr1	210377080	210377294	+	0.000	0.000	2233
BG27039	chr1	210412310	210413081	+	0.000	0.000	2234
BG27050	chr1	210526377	210526576	+	0.000	0.000	2235
BG27068	chr1	210620979	210621178	+	0.000	0.000	2236
BG27073	chr1	210622557	210622756	+	0.000	0.000	2237
BG27074	chr1	210624414	210624632	+	0.000	0.000	2238
BG27088	chr1	210672408	210672669	+	0.000	0.000	2239
BG27118	chr1	210768689	210768955	+	0.000	0.000	2240
BG27121	chr1	210769590	210769789	+	0.000	0.000	2241
BG27152	chr1	210885155	210885376	+	0.000	0.000	2242
BG27153	chr1	210892379	210892583	+	0.000	0.000	2243
BG27229	chr1	211321077	211321295	+	0.000	0.000	2244
BG27256	chr1	211489757	211490176	+	0.000	0.000	2245
BG27268	chr1	211536967	211537204	+	0.000	0.000	2246
BG27274	chr1	211553747	211554281	+	0.000	0.000	2247
BG27283	chr1	211606476	211606716	+	0.000	0.000	2248
BG27290	chr1	211643030	211643245	+	0.000	0.000	2249
BG27312	chr1	211726697	211726896	+	0.000	0.000	2250
BG27348	chr1	211912657	211912856	+	0.000	0.000	2251
BG27349	chr1	211912865	211913379	+	0.000	0.000	2252
BG27368	chr1	211993176	211993375	+	0.000	0.000	2253
BG27398	chr1	212259077	212259554	+	0.000	0.000	2254
BG209025	chr20	49399727	49399926	+	0.000	0.000	15761
BG209037	chr20	49433517	49433882	+	0.000	0.000	15762
BG209046	chr20	49459175	49460059	+	0.000	0.000	15763
BG209049	chr20	49468421	49468808	+	0.000	0.000	15764
BG209064	chr20	49534893	49535120	+	0.000	0.000	15765
BG209072	chr20	49567541	49567740	+	0.000	0.000	15766
BG209088	chr20	49633123	49633322	+	0.000	0.000	15767
BG209089	chr20	49633332	49633703	+	0.000	0.000	15768
BG209098	chr20	49655941	49656799	+	0.000	0.000	15769
BG27408	chr1	212315897	212316585	+	0.000	0.000	2255
BG27416	chr1	212376077	212376899	+	0.000	0.000	2256
BG27419	chr1	212384868	212385067	+	0.000	0.000	2257
BG27425	chr1	212424851	212425050	+	0.000	0.000	2258
BG27432	chr1	212440787	212440986	+	0.000	0.000	2259
BG27440	chr1	212462019	212462242	+	0.000	0.000	2260
BG27441	chr1	212462248	212462589	+	0.000	0.000	2261
BG27486	chr1	212683380	212683593	+	0.000	0.000	2262
BG27492	chr1	212753068	212753304	+	0.000	0.000	2263
BG209102	chr20	49662150	49662349	+	0.000	0.000	15770
BG209103	chr20	49668276	49668994	+	0.000	0.000	15771
BG209106	chr20	49685869	49686135	+	0.000	0.000	15772
BG209125	chr20	49776367	49776582	+	0.000	0.000	15773
BG209162	chr20	49910753	49910952	+	0.000	0.000	15774
BG209176	chr20	49979645	49979844	+	0.000	0.000	15775
BG209181	chr20	50005704	50006130	+	0.000	0.000	15776
BG209183	chr20	50010197	50010396	+	0.000	0.000	15777
BG209193	chr20	50054287	50055897	+	0.000	0.000	15778
BG209196	chr20	50075642	50075854	+	0.000	0.000	15779
BG27500	chr1	212795193	212795425	+	0.000	0.000	2264
BG27531	chr1	213016028	213016254	+	0.000	0.000	2265
BG27596	chr1	213537943	213538142	+	0.000	0.000	2266
BG209207	chr20	50132787	50133001	+	0.000	0.000	15780
BG209213	chr20	50149629	50149881	+	0.000	0.000	15781
BG209225	chr20	50187500	50187799	+	0.000	0.000	15782
BG209239	chr20	50273322	50273521	+	0.000	0.000	15783
BG209269	chr20	50376645	50376866	+	0.000	0.000	15784
BG27616	chr1	213892521	213893020	+	0.000	0.000	2267
BG27650	chr1	214076457	214076656	+	0.000	0.000	2268
BG27676	chr1	214311175	214311384	+	0.000	0.000	2269
BG27677	chr1	214311984	214312362	+	0.000	0.000	2270
BG27681	chr1	214333519	214333729	+	0.000	0.000	2271
BG27694	chr1	214379036	214379556	+	0.000	0.000	2272
BG209312	chr20	50596459	50596662	+	0.000	0.000	15785
BG209319	chr20	50668378	50668608	+	0.000	0.000	15786
BG209320	chr20	50683147	50683551	+	0.000	0.000	15787
BG209324	chr20	50694445	50694650	+	0.000	0.000	15788
BG209339	chr20	50761429	50762064	+	0.000	0.000	15789
BG209355	chr20	50848949	50849172	+	0.000	0.000	15790
BG209357	chr20	50873832	50874031	+	0.000	0.000	15791
BG209358	chr20	50874035	50874435	+	0.000	0.000	15792
BG209391	chr20	51022591	51023856	+	0.000	0.000	15793
BG62001	chr11	79093021	79093258	+	0.000	0.000	4679
BG62042	chr11	79268972	79269289	+	0.000	0.000	4680
BG62045	chr11	79276991	79277221	+	0.000	0.000	4681
BG27718	chr1	214538615	214538814	+	0.000	0.000	2273
BG62063	chr11	79393826	79394025	+	0.000	0.000	4682
BG27733	chr1	214637441	214638038	+	0.000	0.000	2274
BG27741	chr1	214897002	214897443	+	0.000	0.000	2275
BG308024	chr6	98892909	98893113	+	0.000	0.000	22069
BG308025	chr6	98905506	98905718	+	0.000	0.000	22070
BG27773	chr1	215217074	215217273	+	0.000	0.000	2276
BG27786	chr1	215357720	215357919	+	0.000	0.000	2277
BG27787	chr1	215358071	215358735	+	0.000	0.000	2278
BG27788	chr1	215358743	215359139	+	0.000	0.000	2279
BG308049	chr6	99086967	99087367	+	0.000	0.000	22071
BG27790	chr1	215416355	215416579	+	0.000	0.000	2280
BG308062	chr6	99152139	99152369	+	0.000	0.000	22072
BG308076	chr6	99282307	99282511	+	0.000	0.000	22073
BG209400	chr20	51069324	51069703	+	0.000	0.000	15794
BG209401	chr20	51076893	51077934	+	0.000	0.000	15795
BG209402	chr20	51077968	51078167	+	0.000	0.000	15796
BG209404	chr20	51089317	51089564	+	0.000	0.000	15797
BG209405	chr20	51089580	51089805	+	0.000	0.000	15798
BG209407	chr20	51092327	51092526	+	0.000	0.000	15799
BG209435	chr20	51284910	51285206	+	0.000	0.000	15800
BG209464	chr20	51428809	51429019	+	0.000	0.000	15801
BG209472	chr20	51447339	51447615	+	0.000	0.000	15802
BG209487	chr20	51489720	51489938	+	0.000	0.000	15803
BG62111	chr11	79808920	79809155	+	0.000	0.000	4683
BG62116	chr11	79894175	79894428	+	0.000	0.000	4684
BG62122	chr11	79996386	79996947	+	0.000	0.000	4685
BG62129	chr11	80071449	80071748	+	0.000	0.000	4686
BG27814	chr1	215637348	215637846	+	0.000	0.000	2281
BG27817	chr1	215665205	215665600	+	0.000	0.000	2282
BG62155	chr11	80490196	80490482	+	0.000	0.000	4687
BG27822	chr1	215682310	215682543	+	0.000	0.000	2283
BG27824	chr1	215758874	215759073	+	0.000	0.000	2284
BG27843	chr1	215984854	215985134	+	0.000	0.000	2285
BG62187	chr11	80900372	80900761	+	0.000	0.000	4688
BG62199	chr11	81023248	81023455	+	0.000	0.000	4689
BG308150	chr6	99877544	99877743	+	0.000	0.000	22074
BG308173	chr6	100088093	100088347	+	0.000	0.000	22075
BG308188	chr6	100257743	100257988	+	0.000	0.000	22076
BG308195	chr6	100464941	100465162	+	0.000	0.000	22077
BG308199	chr6	100517259	100517458	+	0.000	0.000	22078
BG209510	chr20	51553548	51554425	+	0.000	0.000	15804
BG209511	chr20	51554535	51555164	+	0.000	0.000	15805
BG209528	chr20	51636128	51636358	+	0.000	0.000	15806
BG209534	chr20	51652050	51652285	+	0.000	0.000	15807
BG209535	chr20	51652438	51652702	+	0.000	0.000	15808
BG209542	chr20	51680412	51680670	+	0.000	0.000	15809
BG209555	chr20	51739674	51739873	+	0.000	0.000	15810
BG209571	chr20	51887439	51887638	+	0.000	0.000	15811
BG209573	chr20	51895912	51896253	+	0.000	0.000	15812
BG209578	chr20	51985068	51985405	+	0.000	0.000	15813
BG209580	chr20	52004213	52004445	+	0.000	0.000	15814
BG209581	chr20	52004729	52005078	+	0.000	0.000	15815
BG209585	chr20	52105617	52105867	+	0.000	0.000	15816
BG62222	chr11	81219720	81219990	+	0.000	0.000	4690
BG27900	chr1	216784872	216785277	+	0.000	0.000	2286
BG27907	chr1	216812951	216813169	+	0.000	0.000	2287
BG62244	chr11	81497040	81497265	+	0.000	0.000	4691
BG27914	chr1	216831311	216831599	+	0.000	0.000	2288
BG27923	chr1	216900723	216901146	+	0.000	0.000	2289
BG62271	chr11	81885570	81886022	+	0.000	0.000	4692
BG27949	chr1	217024392	217024591	+	0.000	0.000	2290
BG27983	chr1	217230507	217230706	+	0.000	0.000	2291
BG27985	chr1	217275257	217275635	+	0.000	0.000	2292
BG27990	chr1	217312124	217312374	+	0.000	0.000	2293
BG27991	chr1	217322908	217323107	+	0.000	0.000	2294
BG308288	chr6	101399868	101400096	+	0.000	0.000	22079
BG209625	chr20	52494307	52494564	+	0.000	0.000	15817
BG209634	chr20	52615428	52615831	+	0.000	0.000	15818
BG209656	chr20	52859061	52859455	+	0.000	0.000	15819
BG209678	chr20	53088380	53088593	+	0.000	0.000	15820
BG209683	chr20	53136908	53137236	+	0.000	0.000	15821
BG209689	chr20	53187827	53188511	+	0.000	0.000	15822
BG62302	chr11	82272999	82273219	+	0.000	0.000	4693
BG62311	chr11	82359206	82359457	+	0.000	0.000	4694
BG62333	chr11	82560116	82560315	+	0.000	0.000	4695
BG62362	chr11	82775806	82776212	+	0.000	0.000	4696
BG62370	chr11	82805100	82805367	+	0.000	0.000	4697
BG308320	chr6	101625812	101626031	+	0.000	0.000	22080
BG308345	chr6	101845070	101845269	+	0.000	0.000	22081
BG244012	chr3	159280178	159280701	+	0.000	0.000	18320
BG209726	chr20	53521488	53521687	+	0.000	0.000	15823
BG209740	chr20	53660643	53660859	+	0.000	0.000	15824
BG209742	chr20	53678039	53678348	+	0.000	0.000	15825
BG209749	chr20	53721085	53721309	+	0.000	0.000	15826
BG244085	chr3	159775862	159776263	+	0.000	0.000	18321
BG244086	chr3	159776320	159776540	+	0.000	0.000	18322
BG244087	chr3	159776571	159776770	+	0.000	0.000	18323
BG209757	chr20	53752003	53752202	+	0.000	0.000	15827
BG244097	chr3	159788283	159788507	+	0.000	0.000	18324
BG209770	chr20	53866101	53866327	+	0.000	0.000	15828
BG209771	chr20	53866334	53866669	+	0.000	0.000	15829
BG209778	chr20	53885005	53885615	+	0.000	0.000	15830
BG209794	chr20	53949669	53949938	+	0.000	0.000	15831
BG62415	chr11	82980473	82980672	+	0.000	0.000	4698
BG62426	chr11	83007510	83007800	+	0.000	0.000	4699
BG62428	chr11	83011450	83011700	+	0.000	0.000	4700
BG62441	chr11	83045407	83045664	+	0.000	0.000	4701
BG62452	chr11	83115121	83115344	+	0.000	0.000	4702
BG62459	chr11	83147971	83148226	+	0.000	0.000	4703
BG62468	chr11	83222560	83223051	+	0.000	0.000	4704
BG62478	chr11	83303186	83303414	+	0.000	0.000	4705
BG308401	chr6	103342919	103343181	+	0.000	0.000	22082
BG308408	chr6	103537973	103538374	+	0.000	0.000	22083
BG308416	chr6	103700282	103700529	+	0.000	0.000	22084
BG308418	chr6	103723719	103723918	+	0.000	0.000	22085
