#Name (cmd = mergePeaks pr.diff_pd_hipp_lrrk_vs_lopd/bg.clean.pos pr.diff_pd_hipp_lrrk_vs_lopd/target.clean..pos -d 200 -cobound 1 -prefix pr.diff_pd_hipp_lrrk_vs_lopd/0.241936496765451.2.tmp)	chr	start	end	strand	stat	stat2	pr.diff_pd_hipp_lrrk_vs_lopd/target.clean..pos
BG27008	chr1	210301909	210302108	+	0.000	0.000	2210
BG27023	chr1	210364232	210364491	+	0.000	0.000	2211
BG27031	chr1	210377080	210377294	+	0.000	0.000	2212
BG27068	chr1	210620979	210621178	+	0.000	0.000	2213
BG27073	chr1	210622557	210622756	+	0.000	0.000	2214
BG27074	chr1	210624414	210624632	+	0.000	0.000	2215
BG27075	chr1	210624734	210625111	+	0.000	0.000	2216
BG27088	chr1	210672408	210672669	+	0.000	0.000	2217
BG27109	chr1	210737727	210738066	+	0.000	0.000	2218
BG27153	chr1	210892379	210892583	+	0.000	0.000	2219
BG27201	chr1	211055209	211055422	+	0.000	0.000	2220
BG27221	chr1	211167163	211167417	+	0.000	0.000	2221
BG27228	chr1	211305361	211305998	+	0.000	0.000	2222
BG27229	chr1	211321077	211321295	+	0.000	0.000	2223
BG27268	chr1	211536967	211537204	+	0.000	0.000	2224
BG27280	chr1	211589839	211590206	+	0.000	0.000	2225
BG27304	chr1	211680309	211680732	+	0.000	0.000	2226
BG27312	chr1	211726697	211726896	+	0.000	0.000	2227
BG27347	chr1	211910736	211911190	+	0.000	0.000	2228
BG27349	chr1	211912865	211913379	+	0.000	0.000	2229
BG27356	chr1	211924770	211924988	+	0.000	0.000	2230
BG27379	chr1	212152438	212152637	+	0.000	0.000	2231
BG27393	chr1	212225976	212226210	+	0.000	0.000	2232
BG27398	chr1	212259077	212259554	+	0.000	0.000	2233
BG209039	chr20	49439938	49441053	+	0.000	0.000	15790
BG209045	chr20	49458945	49459163	+	0.000	0.000	15791
BG209049	chr20	49468421	49468808	+	0.000	0.000	15792
BG209064	chr20	49534893	49535120	+	0.000	0.000	15793
BG209085	chr20	49617543	49617742	+	0.000	0.000	15794
BG209086	chr20	49626767	49627251	+	0.000	0.000	15795
BG209088	chr20	49633123	49633322	+	0.000	0.000	15796
BG209089	chr20	49633332	49633703	+	0.000	0.000	15797
BG209090	chr20	49633706	49633935	+	0.000	0.000	15798
BG209098	chr20	49655941	49656799	+	0.000	0.000	15799
BG27408	chr1	212315897	212316585	+	0.000	0.000	2234
BG27409	chr1	212345975	212346963	+	0.000	0.000	2235
BG27415	chr1	212375490	212376057	+	0.000	0.000	2236
BG27425	chr1	212424851	212425050	+	0.000	0.000	2237
BG27440	chr1	212462019	212462242	+	0.000	0.000	2238
BG27441	chr1	212462248	212462589	+	0.000	0.000	2239
BG27459	chr1	212513995	212515783	+	0.000	0.000	2240
BG27470	chr1	212579485	212579684	+	0.000	0.000	2241
BG27495	chr1	212774693	212774904	+	0.000	0.000	2242
BG209102	chr20	49662150	49662349	+	0.000	0.000	15800
BG209125	chr20	49776367	49776582	+	0.000	0.000	15801
BG209132	chr20	49823996	49824495	+	0.000	0.000	15802
BG209139	chr20	49852308	49852507	+	0.000	0.000	15803
BG209158	chr20	49899210	49899409	+	0.000	0.000	15804
BG209162	chr20	49910753	49910952	+	0.000	0.000	15805
BG209176	chr20	49979645	49979844	+	0.000	0.000	15806
BG209181	chr20	50005704	50006130	+	0.000	0.000	15807
BG209193	chr20	50054287	50055897	+	0.000	0.000	15808
BG209196	chr20	50075642	50075854	+	0.000	0.000	15809
BG27509	chr1	212864788	212865001	+	0.000	0.000	2243
BG27522	chr1	212988393	212989052	+	0.000	0.000	2244
BG27527	chr1	213001392	213001599	+	0.000	0.000	2245
BG27531	chr1	213016028	213016254	+	0.000	0.000	2246
BG27596	chr1	213537943	213538142	+	0.000	0.000	2247
BG27599	chr1	213547742	213548026	+	0.000	0.000	2248
BG209209	chr20	50140119	50140349	+	0.000	0.000	15810
BG209232	chr20	50224645	50224844	+	0.000	0.000	15811
BG209239	chr20	50273322	50273521	+	0.000	0.000	15812
BG209248	chr20	50304685	50304884	+	0.000	0.000	15813
BG209261	chr20	50325286	50326667	+	0.000	0.000	15814
BG209263	chr20	50335958	50336173	+	0.000	0.000	15815
BG209293	chr20	50550023	50550222	+	0.000	0.000	15816
BG27605	chr1	213698296	213698552	+	0.000	0.000	2249
BG27616	chr1	213892521	213893020	+	0.000	0.000	2250
BG27662	chr1	214187977	214188196	+	0.000	0.000	2251
BG27676	chr1	214311175	214311384	+	0.000	0.000	2252
BG27677	chr1	214311984	214312362	+	0.000	0.000	2253
BG27681	chr1	214333519	214333729	+	0.000	0.000	2254
BG27694	chr1	214379036	214379556	+	0.000	0.000	2255
BG209312	chr20	50596459	50596662	+	0.000	0.000	15817
BG209320	chr20	50683147	50683551	+	0.000	0.000	15818
BG209324	chr20	50694445	50694650	+	0.000	0.000	15819
